Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
EWJ,iShares MSCI Japan ETF,Equity,"US$15,685,319,537.00 ",6.65%,"12,191,768",US$54.06 ,-0.41%,No,No,0.26%,3.03%,-13.20%,23.28%,28.32%,"(US$360,728,943.00)","(US$47,341,953.00)","(US$316,548,087.00)","(US$3,922,029,204.00)","(US$6,439,028,017.50)","(US$210,528,367.50)",Japan Equities,12/3/1996,0.47%,2 Platforms,US$0.87 ,18/12/2018,US$0.41 ,1.62%,12.21,0.82,447,18.46%,35%,15%,1099,US$52.25 ,US$54.45 ,US$53.89 ,US$54.22 ,55.05,A,A+,B-,B+,A-,B+,B+,5.64,66.62%,53.64%,122.86,10.42%,9.40%
EWY,iShares MSCI South Korea ETF,Equity,"US$4,985,363,000.00 ",8.80%,"4,389,118",US$64.04 ,-1.05%,No,No,0.91%,9.25%,-15.86%,41.70%,18.74%,"US$396,182,159.50 ","US$37,921,987.00 ","US$288,683,688.00 ","US$1,211,973,886.00 ","US$1,017,454,267.00 ","US$874,635,267.00 ",Asia Pacific Equities,12/5/2000,0.59%,N/A,US$0.79 ,18/12/2018,US$0.79 ,1.23%,8.44,0.89,119,46.79%,35%,15%,1099,US$57.09 ,US$65.17 ,US$63.86 ,US$64.17 ,60.98,C+,A,C+,C,B-,C,B+,4.26,11.75%,13.17%,196.75,5.90%,3.59%
FNDF,Schwab Fundamental International Large Company Index ETF,Equity,"US$4,003,369,474.00 ",6.98%,"1,080,861",US$26.98 ,-0.22%,No,No,0.48%,4.37%,-12.69%,29.47%,13.93%,"US$46,859,412.00 ",US$0.00 ,"US$26,668,380.00 ","US$846,374,768.00 ","US$3,066,599,701.06 ","US$3,965,245,547.97 ",Foreign Large Cap Equities,15/8/2013,0.25%,Charles Schwab,US$0.87 ,12/12/2018,US$0.87 ,3.23%,13.29,0.93,856,13.87%,35%,15%,1099,US$25.83 ,US$27.18 ,US$26.93 ,US$27.05 ,58.88,B+,A-,A-,N/A,B-,B,N/A,6.49,61.92%,81.43%,235.22,12.77%,5.29%
VPL,Vanguard FTSE Pacific ETF,Equity,"US$4,002,832,266.00 ",6.80%,"494,921",US$64.75 ,-0.54%,No,No,0.33%,4.25%,-12.83%,31.94%,29.33%,"US$402,387.92 ",US$0.00 ,"US$367,548.44 ","(US$786,737,401.66)","US$381,117,079.55 ","US$1,050,322,622.41 ",Asia Pacific Equities,10/3/2005,0.10%,Vanguard,US$1.86 ,24/12/2018,US$0.97 ,2.85%,11.7,0.88,1008,13.92%,35%,15%,1099,US$61.81 ,US$65.32 ,US$64.62 ,US$64.89 ,57.47,A+,A-,A+,A,B+,A-,A+,5.63,67.91%,53.26%,179.42,8.95%,7.19%
BBJP,JPMorgan BetaBuilders Japan ETF,Equity,"US$3,886,563,023.00 ",6.20%,"1,622,163",US$22.43 ,-0.36%,No,No,0.36%,3.03%,N/A,N/A,N/A,"US$429,077,968.00 ",US$0.00 ,"US$369,667,496.00 ","US$3,992,386,636.00 ","US$3,992,386,636.00 ","US$3,992,386,636.00 ",Japan Equities,15/6/2018,0.19%,N/A,US$0.14 ,24/12/2018,US$0.14 ,0.61%,12.51,0.75,383,17.90%,39%,20%,1099,US$21.67 ,US$22.59 ,US$22.36 ,US$22.50 ,55.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.58,58.87%,51.62%,125.73,9.83%,9.67%
DXJ,WisdomTree Japan Hedged Equity Fund,Equity,"US$3,485,435,049.00 ",7.65%,"2,366,690",US$49.94 ,-0.12%,No,No,-0.16%,5.23%,-15.83%,12.90%,30.38%,"(US$393,479,307.50)","(US$32,356,094.50)","(US$393,479,307.50)","(US$3,921,198,848.00)","(US$9,517,549,536.00)","(US$7,983,589,521.00)",Japan Equities,16/6/2006,0.48%,E*TRADE,US$1.35 ,24/12/2018,US$0.26 ,2.74%,11.38,1.08,277,32.84%,35%,15%,1099,US$47.22 ,US$50.66 ,US$49.77 ,US$50.11 ,53.26,A-,A,B-,A,B-,A-,B,5.33,31.15%,42.89%,129.38,10.03%,6.83%
EWT,iShares MSCI Taiwan ETF,Equity,"US$3,381,308,754.00 ",4.43%,"6,588,281",US$33.02 ,-0.81%,No,No,0.55%,6.90%,-11.60%,45.45%,38.99%,"(US$9,326,796.00)",US$0.00 ,US$0.00 ,"(US$45,499,137.00)","US$542,433,419.00 ","US$423,433,419.00 ",Asia Pacific Equities,20/6/2000,0.59%,N/A,US$1.00 ,18/12/2018,US$1.00 ,3.07%,12.41,0.84,91,46.20%,35%,15%,1099,US$30.74 ,US$33.25 ,US$32.90 ,US$33.15 ,56.93,A-,A+,B-,A-,A-,B-,B+,5.39,100.00%,44.73%,253.99,0.00%,3.99%
EWH,iShares MSCI Hong Kong ETF,Equity,"US$2,695,026,766.00 ",8.15%,"5,095,968",US$24.41 ,-1.29%,No,No,0.21%,7.06%,-4.88%,50.57%,50.12%,"US$127,406,640.00 ","US$94,303,003.50 ","US$110,367,652.50 ","US$516,006,043.50 ","US$214,795,919.25 ","US$408,106,169.25 ",Asia Pacific Equities,12/3/1996,0.48%,N/A,US$0.66 ,18/12/2018,US$0.27 ,2.74%,9.47,0.86,60,59.10%,35%,15%,1099,US$22.74 ,US$24.81 ,US$24.35 ,US$24.49 ,61.72,A,A,A+,B-,A,A-,C+,5.35,99.17%,43.22%,394.71,11.19%,7.19%
EPP,iShares MSCI Pacific ex Japan ETF,Equity,"US$2,184,933,908.00 ",7.22%,"526,655",US$43.64 ,-0.59%,No,No,0.16%,5.49%,-7.89%,40.28%,23.49%,"(US$22,655,772.00)","US$51,882,366.00 ","US$1,852,218.00 ","(US$900,759,033.00)","(US$90,593,283.00)","(US$705,563,283.00)",Asia Pacific Equities,25/10/2001,0.48%,N/A,US$2.04 ,18/12/2018,US$1.17 ,4.69%,12.45,0.93,176,35.72%,35%,15%,1099,US$41.40 ,US$44.24 ,US$43.53 ,US$43.79 ,59.95,A,A,A-,B+,B,B+,A-,6.4,92.81%,78.96%,310.22,11.59%,6.84%
FNDC,Schwab Fundamental International Small Company Index ETF,Equity,"US$1,797,716,606.00 ",7.90%,"426,710",US$30.59 ,-0.16%,No,No,0.63%,5.19%,-16.64%,30.29%,26.28%,US$0.00 ,US$0.00 ,US$0.00 ,"US$298,746,162.00 ","US$1,391,496,883.38 ","US$1,785,283,446.97 ",Foreign Small & Mid Cap Equities,15/8/2013,0.39%,Charles Schwab,US$0.76 ,12/12/2018,US$0.76 ,2.48%,15.6,0.79,1466,4.16%,35%,15%,1099,US$29.13 ,US$30.80 ,US$30.53 ,US$30.64 ,59.01,N/A,N/A,B+,N/A,N/A,N/A,N/A,5.56,62.39%,50.85%,189.53,5.04%,5.00%
DLS,WisdomTree International SmallCap Dividend,Equity,"US$1,649,649,419.00 ",7.11%,"190,321",US$64.61 ,-0.37%,No,No,0.29%,5.02%,-17.42%,29.48%,22.35%,"(US$12,049,630.00)",US$0.00 ,US$0.00 ,"US$44,288,984.50 ","US$517,519,042.00 ","US$835,506,176.00 ",Foreign Small & Mid Cap Equities,16/6/2006,0.58%,E*TRADE,US$2.21 ,24/12/2018,US$0.45 ,3.44%,14.08,0.82,875,5.74%,35%,15%,1099,US$61.75 ,US$65.24 ,US$64.46 ,US$64.78 ,58.64,A-,A-,B-,A+,B,A-,B+,5.52,6.48%,49.56%,179.81,3.70%,2.86%
JPIN,JPMorgan Diversified Return International Equity ETF,Equity,"US$1,504,778,396.00 ",7.21%,"337,347",US$54.56 ,-0.18%,No,No,0.48%,5.19%,-10.23%,22.65%,N/A,"US$63,913,488.00 ",US$0.00 ,"US$63,913,488.00 ","US$277,906,318.00 ","US$1,351,149,689.00 ","US$1,483,533,439.00 ",Foreign Large Cap Equities,5/11/2014,0.38%,N/A,US$1.39 ,24/12/2018,US$0.36 ,2.54%,12.87,0.73,431,4.42%,39%,20%,1099,US$51.75 ,US$55.05 ,US$54.42 ,US$54.69 ,60.44,B+,B+,B+,A-,B,B,B+,6.27,42.75%,75.34%,375.68,12.11%,9.21%
PXF,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,Equity,"US$1,441,269,042.00 ",7.04%,"464,953",US$40.16 ,-0.22%,No,No,0.73%,4.58%,-13.64%,29.44%,11.81%,"US$24,293,860.50 ",US$0.00 ,US$0.00 ,"US$376,414,304.00 ","US$605,804,021.00 ","US$766,314,236.00 ",Foreign Large Cap Equities,25/6/2007,0.45%,N/A,US$1.27 ,24/12/2018,US$0.31 ,3.15%,12.65,0.86,1017,12.63%,35%,15%,1099,US$38.31 ,US$40.43 ,US$40.07 ,US$40.27 ,58.86,A,A-,B,A,A-,A-,A,6.45,59.07%,80.43%,219.01,11.71%,5.10%
